t      	v      	nai    	nass   	ki     	kss    	cai    	cass   	cansr  	cajsr  	Jrel   	CaMKt  	Jup    	Jtr    	Jdiff  	JdiffNa	JdiffK 	Jleak  	INa    	INaL   	Ito    	ICaL   	ICaNa  	ICaK   	IKr    	IKs    	IK1    	INaCa_i	INaCa_ss	INaCa  	INaK   	IKb    	INab   	IpCa   	ICab   	Ist    	dt     	APD    
3.801663e-02      	-84.765	7.21404	7.21412	144.433	144.433	8.46904e-05	8.36052e-05	1.59027	1.54464	2.43183e-07	0.0120028	2.69625e-05	0.000456388	-5.42614e-06	4.15163e-05	-9.83554e-05	0.000417447	-0.00356448	-0.000147783	4.81568e-05	-1.78856e-07	-9.93452e-09	1.13374e-11	0.00974913	-2.00536e-06	0.386249	-0.019844	-0.00482033	-0.0246644	0.0960052	3.42613e-05	-0.0168084	7.24234e-05	-0.0189132	-80    	0.005  	272.099
8.801663e-02      	-80.7972	7.21404	7.21412	144.434	144.433	8.46892e-05	8.36039e-05	1.59027	1.54465	2.43303e-07	0.0120025	2.69552e-05	0.000456289	-5.42672e-06	4.15281e-05	-0.000216898	0.000417447	-0.00738387	-0.00024881	0.000123656	-2.00873e-07	-1.12244e-08	3.47483e-11	0.0255709	-9.77575e-07	0.720739	-0.0199327	-0.00484279	-0.0247755	0.0983362	0.000106759	-0.0161307	7.24225e-05	-0.0180422	-80    	0.005  	272.099
1.380166e-01      	-76.8403	7.21404	7.21412	144.434	144.433	8.4688e-05	8.36025e-05	1.59027	1.54466	2.44124e-07	0.0120022	2.69478e-05	0.000456189	-5.4273e-06	4.15465e-05	-0.000332064	0.000417447	-0.0142669	-0.00040608	0.000206025	-2.81284e-07	-1.5826e-08	8.4792e-11	0.0425506	4.96237e-08	0.830096	-0.0200195	-0.00486484	-0.0248844	0.100701	0.000211694	-0.0154625	7.24216e-05	-0.0171764	-80    	0.005  	272.099
1.880166e-01      	-72.8853	7.21403	7.21412	144.434	144.433	8.46867e-05	8.36011e-05	1.59027	1.54467	2.4698e-07	0.0120019	2.69404e-05	0.00045609	-5.42788e-06	4.15656e-05	-0.00044422	0.000417447	-0.0255828	-0.000636889	0.0003003	-4.97994e-07	-2.82411e-08	2.25401e-10	0.0605908	1.08294e-06	0.800956	-0.0201026	-0.00488601	-0.0249886	0.103109	0.000360497	-0.0148028	7.24207e-05	-0.0163143	-80    	0.005  	272.099
2.380166e-01      	-68.927	7.21403	7.21412	144.434	144.433	8.46855e-05	8.35998e-05	1.59027	1.54467	2.55004e-07	0.0120016	2.69328e-05	0.000455991	-5.42846e-06	4.15772e-05	-0.000553601	0.000417447	-0.0438332	-0.000979637	0.000412246	-1.03607e-06	-5.92907e-08	6.53912e-10	0.0795492	2.12992e-06	0.701807	-0.0201794	-0.00490565	-0.025085	0.105564	0.000568227	-0.0141513	7.24198e-05	-0.0154553	-80    	0.005  	272.099
2.880166e-01      	-64.9629	7.21403	7.21412	144.435	144.433	8.46842e-05	8.35984e-05	1.59027	1.54468	2.75585e-07	0.0120013	2.69253e-05	0.000455892	-5.42903e-06	4.15674e-05	-0.00066035	0.000417446	-0.0747393	-0.00152544	0.000548662	-2.33282e-06	-1.349e-07	1.96585e-09	0.0992371	3.20019e-06	0.578481	-0.0202466	-0.00492298	-0.0251696	0.108072	0.000854581	-0.0135083	7.24188e-05	-0.0145999	-80    	0.005  	272.099
3.380166e-01      	-60.9917	7.21403	7.21412	144.435	144.433	8.46829e-05	8.3597e-05	1.59027	1.54469	3.26142e-07	0.012001	2.69176e-05	0.000455793	-5.42957e-06	4.15085e-05	-0.000764547	0.000417446	-0.132824	-0.00248928	0.000717737	-5.41613e-06	-3.16969e-07	5.92627e-09	0.119424	4.30719e-06	0.457286	-0.0203	-0.00493697	-0.025237	0.110635	0.00124518	-0.0128741	7.24179e-05	-0.013749	-80    	0.005  	272.099
3.880166e-01      	-57.0114	7.21403	7.21412	144.435	144.433	8.46816e-05	8.35956e-05	1.59027	1.5447 	4.47583e-07	0.0120006	2.69099e-05	0.000455694	-5.43005e-06	4.13379e-05	-0.000866245	0.000417446	-0.25611	-0.00435337	0.000929489	-1.2688e-05	-7.52798e-07	1.7691e-08	0.139849	5.47059e-06	0.350746	-0.0203347	-0.00494638	-0.025281	0.113258	0.00177331	-0.0122493	7.2417e-05	-0.0129034	-80    	0.005  	272.099
4.380166e-01      	-53.0174	7.21403	7.21412	144.435	144.433	8.46803e-05	8.35942e-05	1.59027	1.54471	7.35512e-07	0.0120003	2.69022e-05	0.000455595	-5.43042e-06	4.08993e-05	-0.000965481	0.000417446	-0.546135	-0.00812216	0.00119638	-2.97322e-05	-1.792e-06	5.21571e-08	0.16023	6.71989e-06	0.262963	-0.0203443	-0.00494968	-0.025294	0.115946	0.00248253	-0.0116338	7.2416e-05	-0.012064	-80    	0.005  	272.099
4.880166e-01      	-48.9957	7.21404	7.21411	144.436	144.433	8.4679e-05	8.35929e-05	1.59027	1.54472	1.41247e-06	0.012  	2.68944e-05	0.000455496	-5.43055e-06	3.97875e-05	-0.00106229	0.000417446	-1.27468	-0.0156461	0.00153429	-6.95012e-05	-4.26513e-06	1.5215e-07	0.180303	8.10036e-06	0.193512	-0.0203211	-0.00494498	-0.0252661	0.11871	0.00343161	-0.0110267	7.2415e-05	-0.0112302	-80    	0.005  	272.099
