t      ,v      
3.80E-02,-84.765
8.80E-02,-80.7972
1.38E-01,-76.8403
1.88E-01,-72.8853
2.38E-01,-68.927
2.88E-01,-64.9629
3.38E-01,-60.9917
3.88E-01,-57.0114
4.38E-01,-53.0174
4.88E-01,-48.9957
5.38E-01,-48.5135
5.88E-01,-48.3371
6.38E-01,-48.0411
6.88E-01,-47.6034
7.38E-01,-47.0035
7.88E-01,-46.2187
8.38E-01,-45.2205
8.88E-01,-43.9688
9.38E-01,-42.4044
9.88E-01,-40.4366
1.04E+00,-37.9227
1.09E+00,-34.6323
1.14E+00,-30.1906
1.19E+00,-24.0133
1.24E+00,-15.3589
1.29E+00,-3.92641
1.34E+00,8.67804
1.39E+00,18.7214
1.44E+00,24.2471
1.49E+00,26.6968
1.54E+00,27.8557
1.59E+00,28.5776
1.64E+00,29.156
1.69E+00,29.6787
1.74E+00,30.1706
1.79E+00,30.6389
1.84E+00,31.0857
1.89E+00,31.5122
1.94E+00,31.9192
1.99E+00,32.3075
2.04E+00,32.6778
2.09E+00,33.0308
2.14E+00,33.3673
2.19E+00,33.688
2.24E+00,33.9936
2.29E+00,34.2849
2.34E+00,34.5624
2.39E+00,34.8268
2.44E+00,35.0789
2.49E+00,35.319
2.54E+00,35.5479
2.59E+00,35.7661
2.64E+00,35.9742
2.69E+00,36.1725
2.74E+00,36.3616
2.79E+00,36.5419
2.84E+00,36.714
2.89E+00,36.878
2.94E+00,37.0345
2.99E+00,37.1838
3.04E+00,37.3263
3.09E+00,37.4622
3.14E+00,37.5918
3.19E+00,37.7156
3.24E+00,37.8337
3.29E+00,37.9463
3.34E+00,38.0538
3.39E+00,38.1564
3.44E+00,38.2543
3.49E+00,38.3476
3.54E+00,38.4367
3.59E+00,38.5217
3.64E+00,38.6027
3.69E+00,38.68
3.74E+00,38.7537
3.79E+00,38.824
3.84E+00,38.8909
3.89E+00,38.9547
3.94E+00,39.0155
3.99E+00,39.0734
4.04E+00,39.1285
4.09E+00,39.181
4.14E+00,39.2309
4.19E+00,39.2784
4.24E+00,39.3235
4.29E+00,39.3664
4.34E+00,39.4072
4.39E+00,39.4458
4.44E+00,39.4825
4.49E+00,39.5173
4.54E+00,39.5503
4.59E+00,39.5814
4.64E+00,39.611
4.69E+00,39.6388
4.74E+00,39.6652
4.79E+00,39.69
4.84E+00,39.7134
4.89E+00,39.7354
4.94E+00,39.7561
4.99E+00,39.7754
5.04E+00,39.7936
5.09E+00,39.8106
5.14E+00,39.8264
5.19E+00,39.8412
5.24E+00,39.8549
5.29E+00,39.8675
5.34E+00,39.8792
5.39E+00,39.89
5.44E+00,39.8998
5.49E+00,39.9088
5.54E+00,39.9169
5.59E+00,39.9243
5.64E+00,39.9308
5.69E+00,39.9366
5.74E+00,39.9417
5.79E+00,39.946
5.84E+00,39.9497
5.89E+00,39.9528
5.94E+00,39.9552
5.99E+00,39.9571
6.04E+00,39.9583
6.09E+00,39.959
6.14E+00,39.9592
6.19E+00,39.9588
6.24E+00,39.958
6.29E+00,39.9566
6.34E+00,39.9548
6.39E+00,39.9526
6.44E+00,39.9499
6.49E+00,39.9468
6.54E+00,39.9433
6.59E+00,39.9395
6.64E+00,39.9352
6.69E+00,39.9307
6.74E+00,39.9257
6.79E+00,39.9205
6.84E+00,39.9149
6.89E+00,39.909
6.94E+00,39.9028
6.99E+00,39.8964
7.04E+00,39.8897
7.09E+00,39.8827
7.14E+00,39.8755
7.19E+00,39.868
7.24E+00,39.8603
7.29E+00,39.8524
7.34E+00,39.8443
7.39E+00,39.836
7.44E+00,39.8275
7.49E+00,39.8188
7.54E+00,39.8099
7.59E+00,39.8009
7.64E+00,39.7917
7.69E+00,39.7824
7.74E+00,39.7729
7.79E+00,39.7632
7.84E+00,39.7535
7.89E+00,39.7436
7.94E+00,39.7336
7.99E+00,39.7235
8.04E+00,39.7133
8.09E+00,39.703
8.14E+00,39.6926
8.19E+00,39.6821
8.24E+00,39.6715
8.29E+00,39.6608
8.34E+00,39.6501
8.39E+00,39.6393
8.44E+00,39.6285
8.49E+00,39.6176
8.54E+00,39.6066
8.59E+00,39.5956
8.64E+00,39.5845
8.69E+00,39.5734
8.74E+00,39.5623
8.79E+00,39.5511
8.84E+00,39.5399
8.89E+00,39.5287
8.94E+00,39.5175
8.99E+00,39.5062
9.04E+00,39.495
9.09E+00,39.4837
9.14E+00,39.4724
9.19E+00,39.4611
9.24E+00,39.4499
